System ID,System Name,School ID,School Name,Grade Cluster,2015,2016,2017,2018,2019,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
611,Bibb County,298,Miller Magnet Middle School,M,69.1,59.8,60.3,65.4,79.8,-0.134587554,0.008361204,0.220183486,0.031319045,Yes,66.88,2015-2019,65.54,Yes,Yes,Beating the Odds
611,Bibb County,303,William S. Hutchings Career Center,H,72.4,,,,,,,,,,,,,No,,
611,Bibb County,305,Rutland Middle School,M,66.2,61.1,62.2,65.7,63.1,-0.077039275,0.018003273,-0.03957382,-0.032869941,No,63.66,2015-2019,65.54,No,No,Below Expected Range
611,Bibb County,307,Price Academy,E,,,,,,,,,,,,,,No,,
611,Bibb County,307,Price Academy,M,,,,37.1,,,,,,,,,,No,,
611,Bibb County,383,Williams Elementary School,E,57.1,62.7,58.4,57.7,55.7,0.098073555,-0.068580542,-0.034662045,-0.001723011,No,58.32,2015-2019,66.04,No,No,Within Expected Range
611,Bibb County,386,Southwest High School,H,58.2,59,63.1,54.1,52.8,0.013745704,0.069491525,-0.024029575,0.019735885,Yes,57.44,2015-2019,67.97,No,No,Below Expected Range
611,Bibb County,405,Rosa Taylor Elementary School,E,67.6,64.9,59.8,73.6,70.1,-0.039940828,-0.078582435,-0.047554348,-0.055359204,No,67.2,2015-2019,66.04,Yes,No,Beating the Odds
611,Bibb County,407,LakeBridge Behavioral Health System,E,,,,,,,,,,,,,,No,,
611,Bibb County,407,LakeBridge Behavioral Health System,H,,,,,,,,,,,,,,No,,
611,Bibb County,407,LakeBridge Behavioral Health System,M,,,,,,,,,,,,,,No,,
611,Bibb County,505,Weaver Middle School,M,53.6,54.8,57.5,56.5,59.6,0.02238806,0.049270073,0.054867257,0.04217513,Yes,56.4,2015-2019,65.54,No,No,Within Expected Range
611,Bibb County,605,Heritage Elementary School,E,81.3,81.1,89.8,67.6,78.6,-0.002460025,0.107274969,0.162721893,0.089178946,Yes,79.68,2015-2019,66.04,Yes,Yes,Beating the Odds
611,Bibb County,705,Union Elementary School,E,51.2,53.3,54.3,40.2,57.7,0.041015625,0.018761726,0.435323383,0.165033578,Yes,51.34,2015-2019,66.04,No,No,Within Expected Range
611,Bibb County,805,Riley Elementary School,E,57,44.9,52.4,50.2,60.5,-0.212280702,0.167037862,0.205179283,0.053312148,Yes,53,2015-2019,66.04,No,No,Within Expected Range
611,Bibb County,905,Morgan Elementary School,E,51.6,54.5,,,,0.05620155,,,0.05620155,Yes,53.05,2015-2016,63.7,No,No,
611,Bibb County,1005,Brookdale Elementary School,E,54.3,52,65,57.1,74.3,-0.042357274,0.25,0.301225919,0.169622882,Yes,60.54,2015-2019,66.04,No,No,Beating the Odds
611,Bibb County,1050,Alexander II Magnet School,E,89.5,94.8,89.3,89.7,77.7,0.059217877,-0.058016878,-0.133779264,-0.044192755,No,88.2,2015-2019,66.04,Yes,No,Within Expected Range
611,Bibb County,1054,Bernd Elementary School,E,45.9,51.7,64.9,73,75.5,0.126361656,0.255319149,0.034246575,0.13864246,Yes,62.2,2015-2019,66.04,No,No,Beating the Odds
611,Bibb County,1058,King - Danforth Elementary School,E,43.4,,,,,,,,,,,,,No,,
611,Bibb County,1067,Porter Elementary School,E,57.7,75.8,64.7,74.2,72.3,0.313691508,-0.146437995,-0.025606469,0.047215681,Yes,68.94,2015-2019,66.04,Yes,Yes,Within Expected Range
611,Bibb County,1105,Springdale Elementary School,E,84,91.4,98.8,74,86,0.088095238,0.080962801,0.162162162,0.110406734,Yes,86.84,2015-2019,66.04,Yes,Yes,Beating the Odds
611,Bibb County,1205,Carter Elementary School,E,66.2,64.4,56.1,87.8,87.3,-0.027190332,-0.128881988,-0.005694761,-0.05392236,No,72.36,2015-2019,66.04,Yes,No,Beating the Odds
611,Bibb County,1305,Lane Elementary School,E,47.7,62.9,70.8,59,65.1,0.318658281,0.125596184,0.103389831,0.182548099,Yes,61.1,2015-2019,66.04,No,No,Within Expected Range
