sys_sch,System ID,System Name,School ID,School Name,2019 CCRPI Single Score,2019 BTO Designation
628182,628,Cherokee County,182,Johnston Elementary School,73.3,Below Expected Range
628203,628,Cherokee County,203,Liberty Elementary School,90,Within Expected Range
628309,628,Cherokee County,309,Little River Elem.,85.1,Below Expected Range
6285052,628,Cherokee County,5052,Macedonia Elementary School,88.2,Within Expected Range
628113,628,Cherokee County,113,Mill Creek Middle School,81.6,Below Expected Range
628190,628,Cherokee County,190,Mountain Road Elementary School,78.8,Below Expected Range
6282054,628,Cherokee County,2054,Oak Grove Elementary School,76.7,Within Expected Range
628198,628,Cherokee County,198,R. M. Moore Elementary School,64.8,Below Expected Range
628115,628,Cherokee County,115,River Ridge High School,86.4,Within Expected Range
628191,628,Cherokee County,191,Sequoyah High School,82.9,Within Expected Range
628193,628,Cherokee County,193,Sixes Elementary School,81.4,Below Expected Range
628287,628,Cherokee County,287,Teasley Middle School,65.2,Below Expected Range
628105,628,Cherokee County,105,"William G. Hasty, Sr. Elementary School",76.8,Beating the Odds
628104,628,Cherokee County,104,Woodstock Elementary School,82.7,Within Expected Range
628197,628,Cherokee County,197,Woodstock High School,76.8,Below Expected Range
628297,628,Cherokee County,297,Woodstock Middle School,76.9,Below Expected Range
7691050,769,Chickamauga City,1050,Chickamauga Elementary School,90.7,Within Expected Range
769211,769,Chickamauga City,211,Gordon Lee High School,88.9,Beating the Odds
